stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
"ch:1:sloid:90642::51","Herrliberg, Kirche Wetzwil","47.29671068","8.62529098","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590642&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90643::50","Herrliberg, Oberdorfweg","47.28696804","8.61650546","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590643&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90644::50","Herrliberg, Rain","47.29286624","8.60710908","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590644&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90645::50","Herrliberg, Rebberg","47.28878388","8.61473578","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590645&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90646::50","Herrliberg, Wetzwil","47.29496213","8.63030358","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590646&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90646::51","Herrliberg, Wetzwil","47.29487074","8.63041138","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590646&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90647::51","Herrliberg-Feldmeilen,Bhf West","47.28251959","8.61175337","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590647&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","","Parentch:1:sloid:90647"
"ch:1:sloid:90647::52","Herrliberg-Feldmeilen,Bhf West","47.28279382","8.61109760","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590647&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","","Parentch:1:sloid:90647"
"ch:1:sloid:90647::53","Herrliberg-Feldmeilen,Bhf West","47.28279382","8.61109760","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590647&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","","Parentch:1:sloid:90647"
"ch:1:sloid:90647::54","Herrliberg-Feldmeilen,Bhf West","47.28285476","8.61120540","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590647&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","","Parentch:1:sloid:90647"
"ch:1:sloid:90648::50","Hinteregg, Station","47.30546472","8.68461572","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590648&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","","Parentch:1:sloid:90648"
"ch:1:sloid:90648::51","Hinteregg, Station","47.30552563","8.68458877","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590648&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","","Parentch:1:sloid:90648"
"ch:1:sloid:90649::50","Hinwil, Alpenblick","47.30564137","8.84444398","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590649&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90649::51","Hinwil, Alpenblick","47.30564137","8.84444398","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590649&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90650::50","Horgen, Zentrum Tödi","47.26184462","8.58469611","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590650&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90651::50","Horgen, Dorfgasse","47.26010102","8.59893441","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590651&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
