route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"5-394-P-j25-1","","N4","","3","000000","FFF200"
"5-395-P-j25-1","","N5","","3","000000","FFF200"
"5-396-P-j25-1","","N6","","3","000000","FFF200"
"5-397-P-j25-1","","N7","","3","000000","FFF200"
"5-398-P-j25-1","","N8","","3","000000","FFF200"
"5-399-P-j25-1","","N9","","3","000000","FFF200"
"5-410-P-j25-1","","N36","","3","",""
"61-200-P-j25-1","","200","","3","FFCC00","000000"
"61-201-P-j25-1","","201","","3","FFCC00","000000"
"61-205-P-j25-1","","205","","3","FFCC00","000000"
"61-210-P-j25-1","","210","","3","FFCC00","000000"
"61-212-P-j25-1","","212","","3","FFCC00","000000"
"61-214-P-j25-1","","214","","3","FFCC00","000000"
"61-215-P-j25-1","","215","","3","FFCC00","000000"
"61-220-P-j25-1","","220","","3","FFCC00","000000"
"61-221-P-j25-1","","221","","3","FFCC00","000000"
"61-223-P-j25-1","","223","","3","FFCC00","000000"
"61-225-P-j25-1","","225","","3","FFCC00","000000"
"61-227-P-j25-1","","227","","3","FFCC00","000000"
"61-228-P-j25-1","","228","","3","FFCC00","000000"
"61-229-P-j25-1","","229","","3","FFCC00","000000"
"61-230-P-j25-1","","230","","3","FFCC00","000000"
"61-232-P-j25-1","","232","","3","FFCC00","000000"
"61-235-P-j25-1","","235","","3","FFCC00","000000"
"61-236-P-j25-1","","236","","3","FFCC00","000000"
"61-240-P-j25-1","","240","","3","FFCC00","000000"
"61-245-P-j25-1","","245","","3","FFCC00","000000"
"61-274-P-j25-1","","N50","","3","000000","FFF200"
"61-280-P-j25-1","","280","","3","FFCC00","000000"
"61-351-P-j25-1","","N60","","3","000000","FFF200"
"61-354-P-j25-1","","N51","","3","000000","FFF200"
"61-355-P-j25-1","","N52","","3","000000","FFF200"
"61-356-P-j25-1","","N53","","3","000000","FFF200"
"61-357-P-j25-1","","N58","","3","000000","FFF200"
"61-358-P-j25-1","","N59","","3","000000","FFF200"
"61-359-P-j25-1","","N64","","3","000000","FFF200"
"61-363-P-j25-1","","N68","","3","000000","FFF200"
"61-373-P-j25-1","","N22","","3","000000","FFF200"
"61-374-P-j25-1","","N23","","3","000000","FFF200"
"61-375-P-j25-1","","N24","","3","000000","FFF200"
"61-378-P-j25-1","","N69","","3","000000","FFF200"
"61-379-P-j25-1","","N54","","3","000000","FFF200"
"61-381-P-j25-1","","N82","","3","000000","FFF200"
"61-400-P-j25-1","","N61","","3","000000","FFF200"
"61-475-P-j25-1","","N65","","3","000000","FFF200"
"61-501-P-j25-1","","501","","3","FFCC00","000000"
"61-504-P-j25-1","","504","","3","FFCC00","000000"
"61-510-P-j25-1","","510","","3","FFCC00","000000"
"61-515-P-j25-1","","515","","3","FFCC00","000000"
"61-520-P-j25-1","","520","","3","FFCC00","000000"
"61-521-P-j25-1","","521","","3","FFCC00","000000"
"61-522-P-j25-1","","522","","3","FFCC00","000000"
"61-524-P-j25-1","","524","","3","FFCC00","000000"
"61-525-P-j25-1","","525","","3","FFCC00","000000"
"61-529-P-j25-1","","529","","3","FFCC00","000000"
"61-530-P-j25-1","","530","","3","FFCC00","000000"
"61-531-P-j25-1","","531","","3","FFCC00","000000"
"61-533-P-j25-1","","533","","3","FFCC00","000000"
"61-534-P-j25-1","","534","","3","FFCC00","000000"
"61-535-P-j25-1","","535","","3","FFCC00","000000"
"61-540-P-j25-1","","540","","3","FFCC00","000000"
"61-542-P-j25-1","","542","","3","FFCC00","000000"
"61-543-P-j25-1","","543","","3","FFCC00","000000"
"61-545-P-j25-1","","545","","3","FFCC00","000000"
"61-546-P-j25-1","","546","","3","FFCC00","000000"
"61-555-P-j25-1","","555","","3","FFCC00","000000"
"61-605-P-j25-1","","605","","3","FFCC00","000000"
"61-612-P-j25-1","","612","","3","FFCC00","000000"
"61-615-P-j25-1","","615","","3","FFCC00","000000"
"6-161-P-j25-1","","161","","3","FFFFFF","000000"
"61-620-P-j25-1","","620","","3","FFCC00","000000"
"61-621-P-j25-1","","621","","3","FFCC00","000000"
"61-623-P-j25-1","","623","","3","FFCC00","000000"
"61-630-P-j25-1","","630","","3","FFCC00","000000"
"61-632-P-j25-1","","632","","3","FFCC00","000000"
"61-634-P-j25-1","","634","","3","FFCC00","000000"
"6-165-P-j25-1","","165","","3","FFFFFF","000000"
"61-670-P-j25-1","","670","","3","FFCC00","000000"
"61-671-P-j25-1","","671","","3","FFCC00","000000"
"61-675-P-j25-1","","675","","3","FFCC00","000000"
"61-676-P-j25-1","","676","","3","FFCC00","000000"
"61-677-P-j25-1","","677","","3","FFCC00","000000"
"61-679-P-j25-1","","679","","3","FFCC00","000000"
"61-680-P-j25-1","","680","","3","FFCC00","000000"
"61-681-P-j25-1","","681","","3","FFCC00","000000"
"61-682-P-j25-1","","682","","3","FFCC00","000000"
"61-710-P-j25-1","","E","","3","FFCC00","000000"
"61-711-P-j25-1","","E","","3","FFCC00","000000"
"61-712-P-j25-1","","E","","3","FFCC00","000000"
"61-713-P-j25-1","","E","","3","FFCC00","000000"
"61-718-P-j25-1","","E","","3","FFCC00","000000"
"61-806-P-j25-1","","806","","3","FFCC00","000000"
"61-807-P-j25-1","","807","","3","FFCC00","000000"
"61-809-P-j25-1","","809","","3","FFCC00","000000"
"61-825-P-j25-1","","825","","3","FFCC00","000000"
"61-826-P-j25-1","","826","","3","FFCC00","000000"
"61-827-P-j25-1","","827","","3","FFCC00","000000"
"61-830-P-j25-1","","830","","3","FFCC00","000000"
"61-831-P-j25-1","","831","","3","FFCC00","000000"
"61-832-P-j25-1","","832","","3","FFCC00","000000"
"61-833-P-j25-1","","833","","3","FFCC00","000000"
"61-835-P-j25-1","","835","","3","FFCC00","000000"
"61-837-P-j25-1","","837","","3","FFCC00","000000"
"6-184-P-j25-1","","184","","3","FFFFFF","000000"
"61-859-P-j25-1","","859","","3","FFCC00","000000"
"6-185-P-j25-1","","185","","3","FFFFFF","000000"
"6-743-P-j25-1","","743","","3","E20A16","FFFFFF"
"6-744-P-j25-1","","744","","3","FFFFFF","000000"
"6-745-P-j25-1","","745","","3","FFFFFF","000000"
"6-751-P-j25-1","","751","","3","11296F","FFFFFF"
"7-301-P-j25-1","","301","","3","8AB51F","000000"
"7-302-P-j25-1","","302","","3","00892F","FFFFFF"
"7-304-P-j25-1","","304","","3","E20A16","FFFFFF"
"7-305-P-j25-1","","305","","3","734522","FFFFFF"
"7-306-P-j25-1","","306","","3","FFCC00","000000"
"7-307-P-j25-1","","307","","3","",""
"7-309-P-j25-1","","309","","3","008DC5","FFFFFF"
"7-314-P-j25-1","","314","","3","FF5D55","000000"
"7-315-P-j25-1","","315","","3","FFFFFF","000000"
"7-317-P-j25-1","","317","","3","11296F","FFFFFF"
"7-325-P-j25-1","","325","","3","E12472","FFFFFF"
"8-701-P-j25-1","","701","","3","008DC5","FFFFFF"
"8-703-P-j25-1","","703","","3","FFCC00","000000"
"8-704-P-j25-1","","704","","3","8E224D","FFFFFF"
"8-705-P-j25-1","","705","","3","00892F","FFFFFF"
