from_stop_id,to_stop_id,transfer_type,min_transfer_time
"ch:1:sloid:3062::1","ch:1:sloid:90601::51","2","30"
"ch:1:sloid:3062::1","ch:1:sloid:90601::53","2","30"
"ch:1:sloid:3062::1","ch:1:sloid:90601::54","2","30"
"ch:1:sloid:3063::0","ch:1:sloid:90648::50","2","0"
"ch:1:sloid:3063::0","ch:1:sloid:90648::51","2","0"
"ch:1:sloid:3063::1","ch:1:sloid:90648::50","2","0"
"ch:1:sloid:3063::1","ch:1:sloid:90648::51","2","0"
"ch:1:sloid:3064::0","ch:1:sloid:90785::50","2","60"
"ch:1:sloid:3064::0","ch:1:sloid:90785::52","2","60"
"ch:1:sloid:3064::0","ch:1:sloid:90785::54","2","60"
"ch:1:sloid:3064::1","ch:1:sloid:90785::50","2","60"
"ch:1:sloid:3064::1","ch:1:sloid:90785::52","2","60"
"ch:1:sloid:3064::1","ch:1:sloid:90785::54","2","60"
"ch:1:sloid:3065::0","ch:1:sloid:3065::1","2","60"
"ch:1:sloid:3065::0","ch:1:sloid:3065::2","2","60"
"ch:1:sloid:3065::0","ch:1:sloid:3065::3","2","60"
"ch:1:sloid:3065::0","ch:1:sloid:90613::50","2","30"
"ch:1:sloid:3065::0","ch:1:sloid:90613::51","2","30"
"ch:1:sloid:3065::1","ch:1:sloid:3065::0","2","60"
"ch:1:sloid:3065::1","ch:1:sloid:3065::2","2","60"
"ch:1:sloid:3065::1","ch:1:sloid:3065::3","2","60"
"ch:1:sloid:3065::1","ch:1:sloid:90613::50","2","30"
"ch:1:sloid:3065::1","ch:1:sloid:90613::51","2","30"
"ch:1:sloid:3065::2","ch:1:sloid:3065::0","2","60"
"ch:1:sloid:3065::2","ch:1:sloid:3065::1","2","60"
"ch:1:sloid:3065::2","ch:1:sloid:3065::3","2","60"
"ch:1:sloid:3065::2","ch:1:sloid:90613::50","2","30"
"ch:1:sloid:3065::2","ch:1:sloid:90613::51","2","30"
"ch:1:sloid:3065::3","ch:1:sloid:3065::0","2","60"
"ch:1:sloid:3065::3","ch:1:sloid:3065::1","2","60"
"ch:1:sloid:3065::3","ch:1:sloid:3065::2","2","60"
"ch:1:sloid:3065::3","ch:1:sloid:90613::50","2","30"
"ch:1:sloid:3065::3","ch:1:sloid:90613::51","2","30"
"ch:1:sloid:3066::0","ch:1:sloid:3066::1","2","120"
"ch:1:sloid:3066::0","ch:1:sloid:76226::50","2","180"
"ch:1:sloid:3066::0","ch:1:sloid:76226::51","2","180"
"ch:1:sloid:3066::0","ch:1:sloid:76226::53","2","180"
